"a","b"
"1.29","5646"
"1.31","5652"
"1.02","5655"
"1.18","5657"
"1.08","5661"
"0.96","5666"
"2","5667"
"1.35","5670"
"1.3","5671"
"1.14","5675"
"1.29","5676"
"1.1","5677"
"1.16","5678"
"1.21","5678"
"1.01","5679"
"1.02","5681"
"1.51","5682"
"1.25","5683"
"1.04","5684"
"1.11","5688"
"1.85","5688"
"1.5","5695"
"1.18","5696"
"2.01","5696"
"1.06","5697"
"1.07","5698"
"1.22","5703"
"0.91","5708"
"1.36","5715"
"1.32","5717"
"1.4","5723"
"1.46","5723"
"1.21","5726"
"1.06","5728"
"1.3","5728"
"1.01","5728"
"1.13","5728"
"0.93","5729"
"1.1","5729"
"1.02","5733"
"2.27","5733"
"1.26","5736"
"1.04","5738"
"1.22","5739"
"1.25","5740"
"1.17","5743"
"1.33","5744"
"1.08","5745"
"1.34","5748"
"1.51","5750"
"1.15","5750"
"0.81","5752"
"0.9","5754"
"1.35","5758"
"1.29","5759"
"1.68","5765"
"1.38","5765"
"1.56","5766"
"0.96","5767"
"1.01","5775"
"1.25","5775"
"1.08","5775"
"1.04","5777"
"1.02","5778"
"1.34","5778"
"1.13","5779"
"0.92","5779"
"1.21","5779"
"1.29","5779"
"1.16","5781"
"1.06","5783"
"1.1","5783"
"1.33","5785"
"1.3","5788"
"1.26","5792"
"1.22","5794"
"0.9","5795"
"1.38","5796"
"1.35","5799"
"1.18","5801"
"1.51","5801"
"1.14","5801"
"1.5","5808"
"0.95","5817"
"1.21","5826"
"1.01","5826"
"1.04","5826"
"0.9","5828"
"1.13","5829"
"1.15","5831"
"1.17","5831"
"1.37","5831"
"1.27","5832"
"1.3","5832"
"1.22","5832"
"1.33","5832"
"1.06","5833"
"1.5","5833"
"1.25","5834"
"1.08","5836"
"1.02","5839"
"0.74","5841"
"1.1","5845"
"1.26","5849"
"1.81","5859"
"1.18","5871"
"1.68","5871"
"1.33","5876"
"1.06","5877"
"1.29","5878"
"0.93","5879"
"0.95","5879"
"1.01","5880"
"1.25","5880"
"1.21","5880"
"1.04","5882"
"1.13","5885"
"0.9","5887"
"1.1","5888"
"1.02","5890"
"1.15","5891"
"1.17","5892"
"1.26","5899"
"1.5","5902"
"1.08","5908"
"1.22","5910"
"1.38","5912"
"2","5914"
"1.65","5914"
"1.52","5916"
"1.35","5919"
"1.18","5921"
"1.29","5926"
"1.08","5927"
"1.06","5927"
"1.01","5929"
"1.25","5929"
"1.02","5930"
"1.15","5930"
"1.22","5930"
"1.21","5931"
"1.1","5935"
"1.13","5936"
"1.26","5937"
"1.5","5937"
"1.17","5944"
"1.04","5948"
"1.3","5951"
"1.32","5958"
"1.36","5963"
"1.38","5969"
"1.55","5974"
"1.25","5975"
"1.01","5975"
"1.21","5975"
"1.26","5976"
"1.02","5977"
"0.9","5978"
"1.22","5979"
"1.51","5979"
"0.94","5980"
"1.07","5982"
"0.96","5983"
"1.06","5983"
"1.29","5984"
"1.15","5986"
"1.44","5987"
"0.93","5989"
"1.54","5989"
"1.17","5991"
"1.09","5993"
"1.82","5993"
"1.04","5994"
"1.33","5996"
"1.7","5998"
"2.03","6002"
"0.8","6004"
"1.13","6005"
"1.5","6006"
"1.73","6007"
"1.59","6010"
"1.34","6010"
"1.18","6013"
"1.36","6017"
"1.66","6025"
"1.21","6026"
"1.01","6027"
"1.06","6028"
"1.5","6028"
"1.25","6030"
"1.57","6031"
"1.27","6031"
"1.1","6032"
"1.02","6032"
"1.15","6033"
"1.03","6036"
"1.17","6036"
"1.51","6038"
"1.07","6040"
"1.35","6041"
"1.3","6042"
"1.22","6045"
"1.13","6045"
"1.26","6046"
"1.18","6053"
"1.33","6061"
"1.49","6064"
"1.42","6069"
"1.01","6075"
"1.25","6075"
"1.13","6075"
"1.18","6076"
"1.08","6076"
"1.21","6077"
"1.33","6078"
"1.34","6078"
"1.02","6080"
"1.16","6084"
"1.26","6085"
"1.52","6086"
"1.44","6086"
"0.94","6088"
"1.37","6088"
"2.06","6091"
"1.04","6091"
"1.29","6093"
"1.15","6095"
"1.54","6095"
"1.06","6096"
"1.1","6098"
"1.47","6108"
"1.62","6112"
"1.5","6115"
"1.22","6121"
"0.9","6124"
"1.24","6125"
"1.21","6125"
"1.02","6126"
"1.29","6126"
"1.01","6126"
"1.53","6126"
"1.06","6128"
"1.13","6129"
"1.5","6132"
"1.22","6132"
"1.17","6132"
"1.04","6133"
"1.1","6133"
"1.66","6135"
"1.33","6137"
"1.4","6139"
"1.3","6140"
"1.14","6144"
"1.96","6147"
"1.37","6148"
"2.08","6150"
"1.18","6159"
"1.08","6168"
"1.28","6175"
"1.49","6175"
"1.38","6175"
"1.01","6176"
"1.04","6177"
"1.21","6177"
"1.12","6178"
"1.06","6181"
"1.37","6181"
"1.53","6183"
"1.24","6183"
"1.22","6184"
"1.54","6186"
"1.26","6186"
"1.3","6188"
"1.33","6190"
"1.18","6191"
"1.02","6191"
"1.14","6194"
"1.58","6194"
"1.08","6200"
"1.16","6202"
"0.9","6208"
"1.1","6209"
"1.5","6209"
"1.62","6223"
"1.09","6225"
"1.33","6225"
"1.21","6229"
"1.04","6229"
"1.25","6230"
"0.9","6230"
"1.07","6232"
"1.01","6235"
"1.28","6236"
"1.34","6237"
"1.22","6237"
"1.53","6238"
"1.02","6238"
"1.26","6239"
"1.06","6240"
"1.12","6241"
"1.56","6246"
"1.3","6246"
"1.5","6250"
"1.39","6252"
"1.37","6254"
"1.14","6256"
"1.54","6261"
"1.18","6272"
"1.6","6272"
"1.26","6277"
"1.54","6278"
"1.22","6278"
"1.04","6278"
"1.36","6279"
"1.06","6279"
"1.21","6279"
"1.01","6279"
"1.29","6279"
"1.33","6283"
"1.1","6284"
"1.18","6286"
"1.25","6288"
"0.9","6289"
"2.49","6289"
"1.3","6290"
"1.51","6291"
"0.95","6291"
"1.12","6291"
"1.5","6300"
"1.15","6300"
"1.02","6301"
"1.17","6301"
"1.34","6303"
"1.56","6306"
"1.83","6313"
"2.01","6315"
"1.45","6316"
"1.08","6319"
"1.69","6320"
"1.71","6320"
"1.01","6326"
"1.3","6327"
"1.25","6327"
"1.29","6327"
"1.04","6327"
"2.14","6328"
"1.18","6328"
"1.26","6332"
"1.02","6333"
"1.21","6333"
"1.22","6334"
"1.17","6336"
"1.31","6337"
"1.37","6337"
"0.81","6338"
"1.5","6340"
"1.53","6342"
"1.1","6344"
"2","6344"
"2.02","6346"
"1.14","6346"
"1.62","6350"
"1.4","6350"
"1.06","6350"
"1.07","6355"
"2.15","6357"
"0.92","6360"
"1.39","6366"
"1.54","6375"
"1.01","6377"
"2.03","6377"
"1.66","6377"
"1.25","6377"
"1.18","6378"
"1.13","6379"
"1.21","6380"
"1.14","6381"
"1.29","6383"
"1.51","6384"
"1.46","6387"
"1.22","6387"
"1.1","6387"
"1.33","6390"
"1.02","6393"
"1.37","6396"
"1.7","6397"
"1.06","6399"
"0.84","6399"
"1.57","6401"
"1.49","6403"
"1.04","6405"
"1.17","6405"
"1.3","6405"
"1.08","6411"
"1.5","6421"
"1.08","6426"
"1.06","6426"
"1.29","6429"
"1.01","6429"
"1.33","6431"
"1.02","6432"
"1.26","6435"
"1.25","6435"
"1.14","6435"
"1.21","6435"
"1.69","6436"
"1.18","6440"
"1.58","6441"
"0.9","6441"
"1.3","6442"
"1.36","6443"
"1.5","6443"
"0.91","6444"
"1.12","6445"
"1.22","6449"
"1.1","6453"
"1.45","6455"
"1.04","6458"
"1.55","6458"
"1.34","6463"
"1.7","6474"
"1.26","6476"
"1.06","6477"
"1.53","6477"
"1.21","6478"
"1.02","6479"
"1.08","6479"
"1.03","6479"
"1.01","6480"
"1.1","6480"
"1.33","6480"
"0.94","6488"
"1.24","6488"
"1.22","6492"
"1.15","6492"
"1.38","6494"
"1.18","6494"
"1.37","6495"
"2.07","6503"
"1.13","6503"
"1.29","6509"
"3","6512"
"0.92","6513"
"2","6521"
"1.5","6523"
"1.21","6526"
"1.13","6527"
"1.04","6529"
"1.01","6529"
"1.33","6529"
"1.08","6530"
"1.15","6530"
"1.22","6530"
"1.1","6532"
"1.29","6532"
"2","6532"
"2.21","6535"
"1.18","6541"
"1.25","6542"
"1.39","6544"
"1.52","6544"
"1.06","6545"
"1.26","6546"
"1.43","6546"
"0.63","6549"
"1.3","6552"
"1.5","6552"
"1.17","6558"
"1.02","6563"
"2.22","6564"
"1.35","6573"
"1.01","6577"
"1.25","6577"
"1.37","6577"
"1.21","6578"
"1.43","6579"
"1.11","6579"
"1.29","6580"
"1.02","6580"
"1.34","6581"
"1.06","6582"
"1.08","6586"
"1.1","6586"
"1.04","6589"
"2.01","6592"
"1.53","6596"
"2.1","6597"
"1.26","6597"
"1.33","6602"
"1.22","6607"
"0.63","6607"
"1.14","6619"
"1.01","6626"
"1.02","6626"
"1.36","6626"
"1.21","6626"
"1.06","6627"
"1.04","6628"
"1.39","6628"
"1.14","6628"
"1.57","6629"
"1.53","6630"
"1.1","6630"
"1.91","6632"
"1.4","6633"
"1.27","6635"
"1.69","6636"
"1.25","6639"
"1.54","6640"
"1.13","6644"
"1.07","6644"
"0.91","6652"
"2.25","6653"
"1.33","6653"
"1.22","6654"
"1.26","6657"
"1.18","6661"
"1.45","6671"
"0.8","6674"
"1.21","6675"
"1.33","6676"
"1.4","6677"
"1.18","6678"
"1.01","6679"
"0.9","6680"
"1.51","6680"
"1.14","6681"
"1.24","6681"
"1.13","6682"
"1.02","6683"
"1.08","6685"
"2.01","6686"
"1.5","6687"
"1.04","6692"
"1.39","6694"
"1.22","6695"
"1.06","6698"
"1.28","6701"
"1.57","6702"
"1.1","6708"
"1.3","6714"
"1.26","6715"
"1.29","6726"
"1.21","6727"
"1.43","6727"
"1.22","6727"
"1.01","6727"
"1.56","6727"
"1.04","6727"
"1.06","6728"
"1.24","6729"
"1.08","6730"
"1.37","6730"
"1.5","6731"
"1.02","6732"
"1.26","6733"
"1.31","6737"
"1.13","6737"
"1.15","6741"
"1.47","6742"
"1.1","6743"
"1.18","6743"
"1.41","6751"
"2.03","6753"
"1.34","6754"
"1.16","6755"
"1.51","6756"
"1.69","6757"
"1.3","6758"
"0.97","6768"
"1.01","6776"
"1.1","6776"
"1.22","6776"
"1.08","6777"
"1.25","6779"
"1.38","6779"
"1.21","6781"
"1.37","6781"
"1.04","6782"
"1.02","6785"
"1.28","6785"
"1.65","6788"
"1.53","6788"
"1.15","6788"
"1.43","6789"
"1.33","6790"
"2","6796"
"1.5","6798"
"1.13","6800"
"0.97","6801"
"1.06","6803"
"0.9","6804"
"1.55","6805"
"1.3","6806"
"1.58","6813"
"1.34","6814"
"1.17","6814"
"2.17","6817"
"1.74","6821"
"1.25","6826"
"1.01","6826"
"1.1","6827"
"1.08","6828"
"1.17","6828"
"1.32","6830"
"1.02","6830"
"0.9","6830"
"1.15","6831"
"1.39","6831"
"1.04","6831"
"1.06","6833"
"1.28","6833"
"1.21","6833"
"0.8","6834"
"1.12","6837"
"1.26","6837"
"1.5","6838"
"1.71","6847"
"1.51","6851"
"2","6854"
"1.72","6857"
"1.35","6860"
"2.32","6860"
"1.18","6867"
"2.72","6870"
"1.24","6875"
"1.01","6875"
"1.21","6876"
"1.29","6877"
"1.35","6884"
"1.08","6884"
"1.31","6885"
"1.83","6887"
"1.22","6887"
"1.5","6888"
"0.97","6889"
"1.41","6889"
"1.06","6890"
"1.04","6890"
"1.55","6890"
"1.13","6891"
"0.9","6892"
"1.42","6894"
"1.16","6896"
"1.52","6897"
"1.61","6899"
"1.34","6904"
"1.09","6905"
"1.02","6906"
"1.65","6912"
"1.26","6915"
"1.15","6917"
"1.15","6926"
"1.01","6927"
"1.73","6927"
"1.3","6928"
"1.06","6930"
"1.04","6931"
"1.08","6931"
"1.22","6932"
"1.1","6934"
"1.51","6934"
"1.29","6935"
"1.21","6937"
"1.25","6944"
"0.95","6951"
"1.12","6953"
"1.16","6954"
"1.18","6960"
"1.36","6961"
"1.33","6963"
"1.56","6966"
"1.02","6968"
"1.39","6969"
"1.71","6971"
"1.01","6975"
"1.52","6976"
"1.5","6979"
"1.45","6980"
"1.13","6980"
"1.06","6981"
"1.04","6981"
"1.08","6982"
"1.1","6984"
"1.21","6985"
"1.29","6987"
"1.41","6988"
"1.24","6989"
"1.58","6990"
"1.56","6996"
"1.31","6999"
"1.26","7000"
"1.3","7002"
"1.16","7003"
"2.23","7006"
"0.91","7006"
"1.39","7006"
"1.34","7016"
"2.11","7019"
"2.01","7024"
"2.05","7026"
"1.01","7026"
"1.02","7026"
"1.05","7027"
"1.29","7031"
"1.15","7032"
"1.1","7032"
"1.51","7034"
"1.04","7035"
"1.21","7037"
"1.32","7037"
"1.25","7042"
"1.3","7044"
"1.13","7051"
"1.26","7056"
"1.5","7056"
"1.34","7058"
"1.22","7059"
"1.55","7066"
"1.7","7068"
"1.07","7069"
"2.25","7069"
"1.62","7072"
"1.16","7074"
"1.06","7075"
"1.17","7076"
"1.08","7076"
"1.5","7076"
"1.02","7077"
"1.1","7078"
"1.33","7079"
"1.01","7079"
"1.21","7079"
"1.15","7079"
"1.29","7080"
"1.59","7080"
"1.41","7084"
"1.22","7085"
"1.48","7086"
"1.3","7087"
"1.18","7087"
"1.72","7089"
"1.24","7089"
"1.13","7091"
"1.56","7094"
"1.39","7094"
"1.63","7100"
"1.03","7102"
"1.52","7103"
"1.36","7104"
"0.94","7120"
"1.29","7126"
"1.01","7127"
"1.44","7128"
"1.17","7128"
"1.02","7129"
"1.24","7130"
"1.06","7130"
"1.3","7130"
"1.21","7130"
"0.92","7131"
"2.27","7131"
"1.51","7136"
"1.13","7136"
"1.03","7137"
"1.18","7137"
"1.5","7140"
"1.7","7140"
"1.33","7143"
"1.56","7144"
"1.46","7146"
"1.22","7152"
"1.64","7154"
"1.59","7155"
"1.42","7157"
"1.36","7157"
"1.07","7168"
"1.14","7171"
"1.1","7174"
"1.15","7175"
"1.02","7175"
"1.16","7175"
"1.04","7175"
"1.27","7176"
"1.01","7177"
"1.5","7177"
"1.25","7177"
"1.12","7179"
"1.21","7181"
"1.36","7182"
"1.33","7186"
"1.52","7186"
"1.08","7187"
"1.57","7190"
"1.06","7193"
"1.7","7197"
"1.22","7201"
"1.47","7203"
"2","7204"
"1.41","7213"
"1.42","7214"
"0.9","7214"
"1.18","7216"
"1.01","7226"
"2.3","7226"
"1.25","7227"
"1.1","7227"
"1.63","7229"
"1.34","7230"
"0.85","7230"
"1.26","7230"
"1.21","7231"
"1.07","7232"
"1.53","7233"
"1.03","7233"
"1.39","7233"
"1.7","7235"
"1.32","7236"
"1.16","7243"
"1.48","7244"
"1.06","7244"
"1.61","7245"
"1.02","7253"
"1.5","7253"
"1.14","7255"
"1.55","7256"
"2.31","7257"
"2","7258"
"1.22","7262"
"1.73","7270"
"1.06","7275"
"1.08","7275"
"1.14","7275"
"1.13","7275"
"1.25","7276"
"1.75","7276"
"1.33","7277"
"1.01","7277"
"1.02","7277"
"1.21","7277"
"1.09","7281"
"1.22","7283"
"1.47","7284"
"0.9","7286"
"1.54","7287"
"1.37","7288"
"1.5","7291"
"1.52","7292"
"1.04","7294"
"2.01","7294"
"1.27","7297"
"1.63","7302"
"1.34","7305"
"1.39","7311"
"1.42","7316"
"1.55","7319"
"1.41","7324"
"1.13","7326"
"1.02","7326"
"1.56","7326"
"1.25","7328"
"1.04","7328"
"1.21","7328"
"1.06","7329"
"1.01","7332"
"1.3","7333"
"1.58","7333"
"1.44","7338"
"1.41","7339"
"1.52","7340"
"1.33","7341"
"1.59","7345"
"1.37","7346"
"1.54","7349"
"1.14","7354"
"1.09","7357"
"1.46","7358"
"1.5","7365"
"1.22","7372"
"1.04","7375"
"1.1","7378"
"1.25","7378"
"1.21","7380"
"1.53","7384"
"1.57","7385"
"1.46","7387"
"1.32","7389"
"1.02","7389"
"1.01","7392"
"1.5","7392"
"0.9","7393"
"1.22","7395"
"1.26","7400"
"2.04","7403"
"1.13","7404"
"1.06","7408"
"1.64","7409"
"1.14","7409"
"1.75","7409"
"1.17","7413"
"1.7","7414"
"0.97","7415"
"1.07","7415"
"1.28","7415"
"1.44","7419"
"1.36","7421"
"1.3","7426"
"1.21","7426"
"1.5","7428"
"1.34","7429"
"1.04","7429"
"1.01","7430"
"1.22","7430"
"1.23","7431"
"1.17","7432"
"1.52","7433"
"1.42","7437"
"1.54","7437"
"1.13","7437"
"1.47","7438"
"1.18","7439"
"1.07","7440"
"1.02","7440"
"1.05","7440"
"1.1","7443"
"1.39","7445"
"1.33","7459"
"1.29","7463"
"1.7","7464"
"0.42","617"
"1.42","7475"
"1.5","7476"
"1.52","7476"
"1.04","7477"
"1.26","7477"
"1.45","7477"
"1.06","7479"
"1.59","7479"
"1.41","7479"
"1.32","7480"
"1.13","7480"
"1.08","7483"
"1.57","7484"
"1.02","7485"
"1.25","7485"
"1.54","7486"
"1.01","7487"
"1.1","7487"
"1.29","7496"
"1.3","7498"
"1.37","7500"
"1.34","7504"
"1.22","7506"
"1.71","7508"
"1.21","7508"
"2.12","7508"
"1.06","7526"
"1.01","7526"
"1.33","7526"
"1.5","7526"
"1.1","7528"
"1.72","7532"
"1.04","7533"
"1.53","7534"
"1.15","7535"
"1.3","7536"
"1.02","7539"
"0.92","7544"
"1.25","7544"
"1.21","7546"
"1.17","7548"
"1.08","7548"
"1.36","7549"
"1.6","7550"
"1.56","7554"
"1.47","7557"
"1.18","7560"
"1.26","7567"
"1.13","7571"
"1.01","7575"
"1.53","7577"
"1.08","7577"
"1.23","7577"
"1.64","7579"
"1.44","7580"
"1.1","7583"
"1.56","7583"
"1.4","7584"
"1.22","7584"
"1.02","7587"
"1.15","7587"
"1.03","7587"
"1.12","7587"
"1.54","7589"
"1.16","7589"
"1.06","7589"
"1.21","7589"
"1.36","7592"
"1.58","7592"
"1.28","7598"
"1.46","7604"
"1.6","7616"
"1.32","7617"
"1.3","7621"
"1.06","7627"
"1.5","7627"
"1.08","7629"
"1.34","7630"
"1.54","7631"
"1.27","7631"
"1.02","7632"
"1.04","7632"
"1.12","7632"
"1.21","7633"
"1.41","7636"
"1.61","7636"
"1.53","7637"
"1.57","7638"
"1.36","7639"
"1.01","7644"
"1.17","7644"
"1.75","7644"
"1.7","7650"
"1.68","7652"
"1.58","7654"
"1.1","7658"
"1.24","7660"
"1.15","7662"
"1.22","7673"
"1.01","7676"
"1.32","7676"
"1.53","7677"
"1.04","7677"
"1.02","7677"
"1.36","7677"
"1.06","7679"
"1.75","7680"
"1.08","7683"
"1.13","7687"
"1.24","7687"
"1.1","7688"
"1.21","7688"
"1.26","7691"
"1.54","7695"
"1.61","7695"
"1.71","7695"
"1.4","7702"
"1.5","7708"
"0.9","7711"
"1.3","7714"
"1.27","7715"
"1.04","7726"
"1.01","7727"
"1.5","7727"
"1.54","7727"
"1.13","7727"
"1.2","7728"
"1.22","7729"
"1.53","7729"
"1.36","7729"
"1.71","7730"
"1.29","7730"
"1.17","7731"
"1.33","7732"
"1.57","7733"
"1.02","7738"
"1.41","7738"
"1.64","7739"
"1.72","7741"
"1.24","7743"
"1.61","7745"
"1.3","7747"
"0.9","7747"
"1.07","7748"
"1.14","7750"
"1.42","7755"
"1.1","7762"
"1.05","7762"
"1.38","7767"
"1.77","7771"
"1.49","7773"
"1.5","7775"
"1.61","7775"
"1.06","7776"
"1.01","7777"
"1.03","7778"
"1.02","7779"
"1.34","7780"
"1.53","7780"
"1.08","7781"
"1.13","7781"
"1.22","7783"
"1.26","7785"
"1.21","7786"
"1.29","7790"
"1.09","7796"
"1.7","7797"
"1.24","7799"
"1.72","7802"
"1.16","7803"
"1.57","7809"
"1.41","7817"
"1.14","7819"
"1.06","7826"
"1.21","7826"
"1.12","7827"
"1.29","7828"
"1.57","7832"
"1.5","7832"
"2.11","7834"
"1.01","7835"
"1.61","7835"
"1.02","7836"
"1.39","7836"
"1.25","7840"
"1.73","7840"
"1.53","7841"
"1.26","7845"
"1.54","7848"
"1.22","7850"
"1.33","7850"
"1.08","7850"
"1.04","7852"
"2.5","7854"
"1.3","7855"
"1.74","7858"
"1.8","7862"
"1.13","7875"
"1.52","7875"
"1.03","7876"
"1.54","7877"
"1.01","7877"
"1.21","7877"
"1.06","7879"
"1.18","7881"
"1.25","7881"
"1.33","7887"
"1.5","7888"
"0.83","7889"
"1.39","7893"
"1.34","7893"
"1.02","7898"
"1.65","7903"
"1.6","7903"
"1.26","7903"
"1.56","7904"
"1.08","7909"
"1.67","7911"
"1.35","7918"
"1.84","7922"
"1.22","7923"
"1.63","7923"
"1.17","7927"
"1.28","7927"
"1.21","7928"
"1.14","7928"
"1.43","7928"
"1.53","7929"
"1.46","7931"
"1.74","7932"
"1.06","7934"
"1.01","7934"
"2.2","7934"
"1.5","7936"
"1.37","7939"
"1.42","7942"
"1.02","7942"
"1.65","7943"
"1.59","7943"
"1.33","7943"
"1.25","7946"
"1.56","7950"
"1.04","7951"
"1.07","7954"
"1.41","7956"
"2.01","7959"
"1.09","7961"
"1.58","7963"
"1.3","7963"
"1.34","7965"
"1.12","7970"
"1.07","7975"
"1.57","7976"
"1.15","7978"
"1.1","7978"
"1.61","7978"
"1.01","7979"
"1.37","7979"
"1.5","7980"
"1.27","7980"
"1.33","7982"
"1.21","7983"
"1.3","7985"
"1.24","7986"
"1.39","7986"
"1.53","7989"
"1.34","7999"
"1.06","8003"
"1.02","8005"
"1.13","8006"
"1.04","8012"
"1.67","8013"
"1.22","8014"
"1.42","8019"
"1.65","8020"
"1.54","8020"
"1.18","8025"
"1.01","8029"
"1.41","8030"
"1.2","8030"
"1.53","8033"
"1.57","8035"
"1.25","8036"
"2","8037"
"1.38","8037"
"1.17","8038"
"1.5","8039"
"1.26","8040"
"3.01","8040"
"1.02","8042"
"1.06","8044"
"1.7","8044"
"1.88","8048"
"1.13","8051"
"1.47","8055"
"1.1","8057"
"1.58","8057"
"1.35","8062"
"1.22","8062"
"1.43","8069"
"1.4","8075"
"1.62","8075"
"1.56","8076"
"1.01","8077"
"1.25","8079"
"1.34","8079"
"1.12","8080"
"1.5","8081"
"1.04","8089"
"1.53","8092"
"1.54","8092"
"1.06","8093"
"1.02","8096"
"1.21","8097"
"1.42","8102"
"2.01","8104"
"1.31","8106"
"1.16","8107"
"1.77","8109"
"1.26","8110"
"1.15","8114"
"1.7","8115"
"1.47","8115"
"1.67","8118"
"1.07","8120"
"1.3","8124"
"1.52","8127"
"1.5","8127"
"1.23","8128"
"1.13","8129"
"1.14","8131"
"1.21","8131"
"1.03","8133"
"1.01","8133"
"1.4","8133"
"1.57","8133"
"1.7","8134"
"1.6","8138"
"1.28","8139"
"1.07","8145"
"1.09","8149"
"1.06","8149"
"1.02","8157"
"1.33","8163"
"1.3","8164"
"1.22","8167"
"1.42","8173"
"1.6","8176"
"1.01","8176"
"1.54","8176"
"1.21","8177"
"1.5","8181"
"1.02","8181"
"1.62","8183"
"1.13","8184"
"1.16","8185"
"1.04","8192"
"1.53","8192"
"1.48","8196"
"1.07","8202"
"1.09","8204"
"1.41","8212"
"1.22","8213"
"1.06","8219"
"1.73","8220"
"2.33","8220"
"1.57","8221"
"1.25","8226"
"1.01","8227"
"1.32","8227"
"1.59","8227"
"1.57","8228"
"1.2","8232"
"1.5","8232"
"1.13","8233"
"1.27","8235"
"1.07","8235"
"1.04","8237"
"1.26","8238"
"0.9","8239"
"1.53","8242"
"1.02","8244"
"1.54","8254"
"1.17","8256"
"1.3","8256"
"1.35","8256"
"2.04","8257"
"1.77","8257"
"1.7","8263"
"1.72","8264"
"1.4","8268"
"1.39","8271"
"1.54","8275"
"1.41","8275"
"1.21","8275"
"1.5","8276"
"1.12","8279"
"1.01","8279"
"1.1","8279"
"1.53","8280"
"1.25","8281"
"1.7","8282"
"1.03","8284"
"1.06","8285"
"1.61","8288"
"1.56","8301"
"1.02","8303"
"1.27","8312"
"1.22","8313"
"1.47","8314"
"1.14","8315"
"1.08","8321"
"1.72","8324"
"1.13","8329"
"1.01","8330"
"1.6","8333"
"1.5","8333"
"1.21","8334"
"1.65","8334"
"1.22","8340"
"1.04","8341"
"1.53","8342"
"1.06","8344"
"1.15","8346"
"1.16","8346"
"1.02","8347"
"1.08","8347"
"1.81","8362"
"1.57","8363"
"1.74","8364"
"1.09","8364"
"1.25","8365"
"1.71","8366"
"1.73","8370"
"1.04","8375"
"1.22","8377"
"1.6","8377"
"1.21","8380"
"1.25","8381"
"1.75","8385"
"1.33","8385"
"1.52","8387"
"1.5","8391"
"1.08","8393"
"1.13","8394"
"1.7","8397"
"1.01","8400"
"1.02","8401"
"2.04","8408"
"1.54","8408"
"1.18","8411"
"1.06","8413"
"1.3","8416"
"1.57","8419"
"2.68","8419"
"1.4","8419"
"1.46","8421"
"1.09","8422"
"1.37","8424"
"1.44","8426"
"1.53","8426"
"1.5","8427"
"1.31","8429"
"1.13","8430"
"1.24","8431"
"1.21","8436"
"1.03","8437"
"1.59","8441"
"2.25","8442"
"1.02","8445"
"1.01","8448"
"1.06","8451"
"1.09","8454"
"1.65","8455"
"1.8","8457"
"1.28","8458"
"1.4","8467"
"2.5","8467"
"1.56","8470"
"1.5","8475"
"1.56","8476"
"1.39","8476"
"1.53","8477"
"1.54","8479"
"1.34","8480"
"1.08","8481"
"1.03","8483"
"1.22","8485"
"1.02","8485"
"1.25","8486"
"1.21","8486"
"1.66","8487"
"1.06","8488"
"2.34","8491"
"1.15","8501"
"1.32","8501"
"1.7","8505"
"1.11","8508"
"1.4","8511"
"1.59","8515"
"1.16","8520"
"1.01","8525"
"1.6","8526"
"1.04","8527"
"1.13","8528"
"1.01","8529"
"1.42","8529"
"1.53","8529"
"1.29","8530"
"1.22","8533"
"1.54","8537"
"1.06","8537"
"1.57","8538"
"1.5","8538"
"1.71","8540"
"1.23","8541"
"1.37","8543"
"1.21","8545"
"1.02","8545"
"1.45","8550"
"1.18","8556"
"1.33","8558"
"1.41","8572"
"1.26","8574"
"1.25","8575"
"1.22","8575"
"1.9","8576"
"1.21","8577"
"1.37","8577"
"1.01","8579"
"1.5","8580"
"1.52","8580"
"1.29","8582"
"1.31","8583"
"1.58","8583"
"1.65","8587"
"1.04","8590"
"1.1","8592"
"1.15","8592"
"1.12","8592"
"1.57","8593"
"1.43","8599"
"1.02","8616"
"1.06","8619"
"1.4","8624"
"1.06","8626"
"1.02","8627"
"1.5","8627"
"1.29","8629"
"1.21","8629"
"1.04","8629"
"1.72","8630"
"1.6","8630"
"1.53","8630"
"1.39","8631"
"1.22","8633"
"1.13","8633"
"1.01","8638"
"1.17","8639"
"2.02","8640"
"1.08","8640"
"1.57","8643"
"1.37","8644"
"1.09","8650"
"1.54","8652"
"1.74","8653"
"1.41","8654"
"1.43","8654"
"1.47","8663"
"1.7","8663"
"1.24","8672"
"1.26","8676"
"1.53","8678"
"1.55","8678"
"1.24","8679"
"1.73","8680"
"1.6","8681"
"1.46","8683"
"1.29","8684"
"1.5","8685"
"1.41","8686"
"1.21","8687"
"1.01","8688"
"1.71","8690"
"1.74","8690"
"1.05","8693"
"1.13","8698"
"1.04","8701"
"1.07","8707"
"0.91","8707"
"2.16","8709"
"2.5","8711"
"1.33","8714"
"1.64","8716"
"1.36","8718"
"1.1","8724"
"1.06","8726"
"1.25","8726"
"1.32","8728"
"1.09","8730"
"1.74","8731"
"1.22","8731"
"1.5","8732"
"1.53","8735"
"1.01","8736"
"2","8736"
"1.45","8740"
"1.21","8741"
"1.04","8742"
"1.15","8743"
"1.7","8743"
"1.64","8743"
"1.02","8745"
"1.35","8747"
"1.57","8749"
"1.41","8758"
"1.28","8759"
"1.34","8771"
"1.12","8773"
"1.1","8775"
"1.06","8776"
"1.58","8777"
"1.53","8778"
"1.01","8778"
"1.6","8779"
"1.49","8779"
"1.22","8779"
